sale_id,sales_date,customer_id,product_id,quantity,unit_price,promotion_id,discount,net_price,total_revenue
117,7/8/2025,9,5,5,34.5,,0,34.5,172.5
118,7/3/2025,3,5,5,25.32,1,10,22.79,113.95
119,7/3/2025,9,4,5,79.29,2,15,67.4,337
120,7/1/2025,2,2,3,65.96,2,15,56.07,168.21
121,7/27/2025,2,5,1,87.35,2,15,74.25,74.25
122,7/5/2025,2,3,5,31.18,3,5,29.62,148.1
123,7/10/2025,6,2,9,83.62,3,5,79.44,714.96
124,7/7/2025,3,3,1,36.13,,0,36.13,36.13
125,7/26/2025,9,1,3,33.09,1,10,29.78,89.34
126,7/9/2025,4,2,4,33.14,,0,33.14,132.56
127,7/28/2025,1,5,1,85.17,1,10,76.65,76.65
128,7/7/2025,4,2,1,73.22,3,5,69.56,69.56
129,7/9/2025,1,2,8,61.85,3,5,58.76,470.08
130,7/8/2025,5,2,2,48.71,3,5,46.27,92.54
131,7/12/2025,4,2,8,90.18,,0,90.18,721.44
132,7/2/2025,8,3,7,51.4,2,15,43.69,305.83
133,7/1/2025,8,1,2,85.33,2,15,72.53,145.06
134,7/16/2025,7,4,6,55.13,3,5,52.37,314.22
135,7/23/2025,3,2,6,50.16,2,15,42.64,255.84
136,7/23/2025,1,5,3,57.01,2,15,48.46,145.38
137,7/30/2025,1,2,2,44.11,,0,44.11,88.22
138,7/24/2025,3,5,1,79.81,1,10,71.83,71.83
139,7/5/2025,6,3,6,60.22,3,5,57.21,343.26
140,7/3/2025,7,5,5,38.58,3,5,36.65,183.25
141,7/12/2025,6,4,9,91.97,,0,91.97,827.73
142,7/8/2025,6,1,1,50.71,,0,50.71,50.71
143,7/22/2025,6,5,7,63.48,2,15,53.96,377.72
144,7/27/2025,3,5,5,92.52,3,5,87.89,439.45
145,7/3/2025,6,1,5,69.94,1,10,62.95,314.75
146,7/1/2025,8,4,2,29.35,,0,29.35,58.7
147,7/3/2025,2,2,3,95.19,1,10,85.67,257.01
148,7/5/2025,5,5,7,70.22,1,10,63.2,442.4
149,7/15/2025,1,1,6,46.79,3,5,44.45,266.7
150,7/14/2025,1,3,2,31.14,3,5,29.58,59.16
151,7/3/2025,5,1,6,83.52,,0,83.52,501.12
152,7/1/2025,3,3,2,69.61,3,5,66.13,132.26
153,7/5/2025,4,4,2,62.68,3,5,59.55,119.1
154,7/26/2025,3,2,2,91.51,3,5,86.93,173.86
155,7/23/2025,1,1,3,83.09,1,10,74.78,224.34
156,7/14/2025,1,5,2,32.13,,0,32.13,64.26
157,7/7/2025,5,4,4,44.94,2,15,38.2,152.8
158,7/27/2025,6,1,9,39.88,1,10,35.89,323.01
159,7/9/2025,3,5,6,79.52,3,5,75.54,453.24
160,7/15/2025,9,1,1,22.68,1,10,20.41,20.41
161,7/15/2025,5,3,8,65.59,3,5,62.31,498.48
162,7/26/2025,8,1,7,81,3,5,76.95,538.65
163,7/10/2025,1,1,3,90.14,1,10,81.13,243.39
164,7/28/2025,5,1,1,47.37,,0,47.37,47.37
165,7/13/2025,3,4,5,85.7,3,5,81.41,407.05
166,7/19/2025,1,1,4,28.85,,0,28.85,115.4
167,7/7/2025,4,5,8,87.72,2,15,74.56,596.48
168,7/17/2025,5,3,1,30.2,3,5,28.69,28.69
169,7/20/2025,7,3,1,51.78,,0,51.78,51.78
170,7/29/2025,1,1,4,83.78,,0,83.78,335.12
171,7/4/2025,3,4,8,31.99,2,15,27.19,217.52
172,7/30/2025,2,4,5,38.34,,0,38.34,191.7
173,7/5/2025,9,5,2,77.78,,0,77.78,155.56
174,7/23/2025,10,1,6,77.6,2,15,65.96,395.76
175,7/7/2025,6,3,5,71.29,3,5,67.73,338.65
176,7/13/2025,10,4,2,75.52,,0,75.52,151.04
177,7/15/2025,3,1,3,63.42,,0,63.42,190.26
178,7/11/2025,8,4,9,40.14,,0,40.14,361.26
179,7/29/2025,8,4,7,47.66,1,10,42.89,300.23
180,7/4/2025,2,3,7,34.53,2,15,29.35,205.45
181,7/13/2025,6,2,6,92.68,1,10,83.41,500.46
182,7/7/2025,7,5,8,66.67,2,15,56.67,453.36
183,7/27/2025,2,5,4,52.07,3,5,49.47,197.88
184,7/19/2025,10,3,8,56.96,3,5,54.11,432.88
185,7/22/2025,2,4,4,95.78,,0,95.78,383.12
186,7/28/2025,10,1,8,32.27,2,15,27.43,219.44
187,7/2/2025,1,4,9,66.9,3,5,63.56,572.04
188,7/10/2025,8,3,3,60.47,2,15,51.4,154.2
189,7/13/2025,1,5,3,68.92,3,5,65.47,196.41
190,7/30/2025,9,4,2,21.45,1,10,19.3,38.6
191,7/25/2025,6,5,3,89.77,3,5,85.28,255.84
192,7/21/2025,7,1,3,94.57,1,10,85.11,255.33
193,7/6/2025,10,5,5,65.21,3,5,61.95,309.75
194,7/28/2025,7,5,5,75.73,,0,75.73,378.65
195,7/28/2025,10,2,2,93.8,1,10,84.42,168.84
196,7/12/2025,3,2,6,76.58,3,5,72.75,436.5
197,7/12/2025,2,2,5,32.2,,0,32.2,161
198,7/20/2025,9,5,6,66.1,1,10,59.49,356.94
199,7/30/2025,8,3,1,68.54,,0,68.54,68.54
200,7/30/2025,10,5,5,53.93,2,15,45.84,229.2
